ID,preco
24813264385557040124808779273028388499,68052.84
295636316453795508942188530111300065666,111497.37
101258309166227950735244624080888109884,86938.0
28348734455782469411126661985772047409,72969.1
193163160502972147671913739170248305797,109203.47
139253630820409254168638205788326666528,158766.33
326419999691485719634639600759445224896,140205.69
156628370616815763571334368907335612965,76439.36
36614410630357613931262379258535860898,130926.71
291271888210612274188960413687029000366,87826.03
123391565781278664516139635130262687131,128544.04
123706016861869402593139363350178946109,140804.9
36632577625670249282745154628154771956,175621.73
164207595063444188201781760346040950101,175869.77
239955085429338493258803589990879190331,301600.03
69245480563980661813837672936667978073,125519.08
213083299276273770441012668108180731534,165144.33
318159762424298853917632625763830087825,304422.62
33117132854758695177972115283474846588,146986.23
88691358898287974383112409767244045575,54226.895
104291660125102256822964448683795800829,94022.54
229159049944290757731992432258835580843,169490.45
266762076297176898039742519457728636794,177774.88
104580115312884789809424369774941896788,121248.98
198749598127132169075473932214557525537,140355.8
123052955459382316472159620428895623465,115791.28
274967927992094175606306142032269903560,123597.58
94029055283268215743939664009292516397,69484.36
316578267456959884921976601380284250110,105182.25
306685910665250798444039816450779149649,116339.28
66188027549532863985405599220925581449,82908.15
134376189051393721209029719875324497592,117874.234
196852379045120150434314692968333478877,155274.38
194896253925792256227269282874037598624,69478.71
30802913571397204261055892050656735204,183623.88
311594726202050728936634725325305285941,68472.06
56844591140680249279081033814842458251,57969.844
287932267471201009088612783110160474077,224416.64
227707541582330630651928671952232686013,82653.26
159865565498151686879177908437186969038,177996.45
213134344122764704997927180701963458068,236861.64
297237340057109307358959850637282327720,74616.195
39707508005092033474162988356547803403,152261.36
238883064995760960612489258822141116363,87575.01
328910600247775907684540774590673241956,126774.2
236443163133501554079465818887790419849,125367.21
339086611587907933259827091023380074017,234921.12
46762682352639841018005998314762241314,77883.22
332851965360873278751690249890598375787,168484.72
318962844431368296188428342222111798753,128678.945
29508733157411291188236397269743090442,233564.08
303899172930803198024495387312850315642,85213.34
147829693968192690980098974989103235349,216986.89
311952951456192568648075675322657702346,208698.12
214816736410055860693875412617840710187,212149.86
114342436621935401359342391703516446050,77453.26
105262926829261771335255175229497885298,95338.04
322757841954279565741052983110073930012,112523.44
87414772137318321056123452036506901451,102470.13
223712323530225776358311832143332374347,170330.95
79580031853927560411469032076370094174,101949.195
265553325344719242763690405389117404391,104304.95
146362474592218570897268283516726744173,90300.125
220100655478069334717968847612868495093,149512.45
194649061979690036596547232860495078676,158589.25
110302618697904040920367837020821736696,106061.9
67541029598097310843066980947045387347,68832.21
326659650604085308594008997463481485542,283067.56
